('family', 'bunyaviridae', 'genus', 'orthobunyavirus')
('genus', 'alphavirus', 'species', 'alphavirus chikungunya virus')
('genus', 'alphavirus', 'species', 'alphavirus eastern equine encephalitis virus')
('genus', 'alphavirus', 'species', 'alphavirus everglades virus')
('genus', 'alphavirus', 'species', 'alphavirus highlands j virus')
('genus', 'alphavirus', 'species', 'alphavirus mayaro virus')
('genus', 'alphavirus', 'species', 'alphavirus ross river virus')
('genus', 'alphavirus', 'species', 'alphavirus sindbis virus')
('genus', 'alphavirus', 'species', 'alphavirus una virus')
('genus', 'alphavirus', 'species', 'alphavirus venezuelan equine encephalitis virus')
('genus', 'alphavirus', 'species', 'alphavirus western equine encephalitis virus')
('genus', 'flavivirus', 'species', 'flavivirus cowbone ridge virus')
('genus', 'flavivirus', 'species', 'flavivirus dengue virus')
('genus', 'flavivirus', 'species', 'flavivirus japanese encephalitis virus')
('genus', 'flavivirus', 'species', 'flavivirus st. louis encephalitis virus')
('genus', 'flavivirus', 'species', 'flavivirus west nile virus')
('genus', 'flavivirus', 'species', 'flavivirus yellow fever virus')
('genus', 'flavivirus', 'species', 'flavivirus zika virus')
('genus', 'orthobunyavirus', 'species', 'orthobunyavirus california encephalitis virus')
('genus', 'orthobunyavirus', 'species', 'orthobunyavirus la crosse virus')
('genus', 'orthobunyavirus', 'species', 'orthobunyavirus main drain virus')
('genus', 'orthobunyavirus', 'species', 'orthobunyavirus oropouche virus')
('genus', 'orthobunyavirus', 'species', 'orthobunyavirus zegla virus')
